"iso2c","year","country","ccode1","frt","dfrt","lfrt","hrv_mean","dhrv_mean","lhrv_mean","obi3","lobi3","dobi3","obi_filled","lobi_filled","dobi_filled","infl","pubdebt_gdp","lpubdebtgdp","linfl","frt0425","dfrt0425","lfrt0425","spread","spread_pct","ltspreadus","newspread","newspreadl","dnewspread","ldnewspread","dpubdebtgdp","dinfl","lnewspreadl","yr1","yr2","yr3","yr4","yr5","yr6","yr7","yr8","yr9","yr10","yr11","yr12","yr13","yr14","yr15","yr16","yr17","yr18","yr19","yr20","yr21","yr22","lfrtxpub0425","lers","lpcgdpl","ldpcgdpl","advanced","advgrowth","us3mrate","ldfrt0425","ldpubdebtgdp","ldfrtxdpub0425","oecd","emu","pcgdp2005l","lpcgdp2005l","cgdpgrowth","ka_open","lka_open","lcgdpgrowth","s1name","dpcgdp2005l","dcgdpgrowth","dka_open","dfrtxdpub0425","lower_95","lower_90","median","upper_90","upper_95","ltratecov","dratecov","lltratecov","lnewspread","lfrtxdpub","lvix","loecdgrowth","doecdgrowth","dvix","_merge","dus3mrate","lus3mrate","dfrtxdpub","ldfrt","lfrtxlpub","country_growth","lcountry_growth","dcountry_growth","eurozone"
"GQ",2004,"Equatorial Guinea",411,-0.223000004887581,-0.0219999998807907,-0.20100000500679,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.23999977111816,7.63000011444092,12.8900003433228,7.32000017166138,-0.224000006914139,-0.0180000066757202,-0.206000000238419,NA,NA,NA,NA,NA,NA,NA,-5.26000022888184,-3.08000040054321,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.65533995628357,1,2.24659085273743,0.0313549041748047,0,3.09608936309814,1.37000000476837,-0.0150000005960464,-12.8399991989136,0.1925999969244,0,0,9.45544624328613,9.16357040405273,37.9987258911133,0.162911057472229,0.162911057472229,13.955249786377,"Equatorial Guinea",0.291875839233398,24.0434761047363,0,0.0946800410747528,-0.33500000834465,-0.314000010490417,-0.223000004887581,-0.0939999967813492,-0.0769999995827675,NA,NA,NA,NA,1.05726003646851,21.9799995422363,2.0349485874176,1.08552694320679,-6.5,3,0.360000014305115,1.00999999046326,0.115720003843307,-0.0160000026226044,-2.59089016914368,37.9987268559979,16.748700605341,1.26875670843865,0
"GQ",2005,"Equatorial Guinea",411,-0.248999997973442,-0.0259999930858612,-0.223000004887581,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6399998664856,3.70000004768372,7.63000011444092,4.23999977111816,-0.24600000679493,-0.0219999998807907,-0.224000006914139,NA,NA,NA,NA,NA,NA,NA,-3.9300000667572,1.40000009536743,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.70912003517151,1,2.25326561927795,0.00667476654052734,0,2.59055256843567,3.15000009536743,-0.0180000066757202,-5.26000022888184,0.0946800410747528,0,0,9.51876926422119,9.45544624328613,9.74872016906738,0.162911057472229,0.162911057472229,37.9987258911133,"Equatorial Guinea",0.0633230209350586,-28.2500057220459,0,0.0864600017666817,-0.34799998998642,-0.33500000834465,-0.248999997973442,-0.130999997258186,-0.108999997377396,NA,NA,NA,NA,0.876390039920807,15.4799995422363,3.12047553062439,-0.510336875915527,-2.66999912261963,3,1.78000009059906,1.37000000476837,0.102179974317551,-0.0219999998807907,-1.70149004459381,16.748700605341,-4.81154518266975,-4.480940107487,0
"GQ",2006,"Equatorial Guinea",411,-0.28999999165535,-0.0409999936819077,-0.248999997973442,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.46999979019165,2.00999999046326,3.70000004768372,5.6399998664856,-0.282999992370605,-0.036999985575676,-0.24600000679493,NA,NA,NA,NA,NA,NA,NA,-1.69000005722046,-1.17000007629395,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.91020005941391,1,2.2314453125,-0.0218203067779541,0,3.3396315574646,4.73000001907349,-0.0219999998807907,-3.9300000667572,0.0864600017666817,0,0,9.31331634521484,9.51876926422119,-16.1617641448975,0.162911057472229,0.162911057472229,9.74872016906738,"Equatorial Guinea",-0.205452919006348,-25.9104843139648,0,0.062529981136322,-0.381000012159348,-0.372000008821487,-0.28999999165535,-0.180000007152557,-0.152999997138977,NA,NA,NA,NA,0.420810014009476,12.8100004196167,2.61013865470886,0.269256591796875,0,3,1.57999992370605,3.15000009536743,0.0692899897694588,-0.0259999930858612,-0.921299993991852,-4.81154518266975,13.1219504850453,-1.36667911437048,0
"GQ",2007,"Equatorial Guinea",411,-0.303000003099442,-0.0130000114440918,-0.28999999165535,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.79999995231628,1.32000005245209,2.00999999046326,4.46999979019165,-0.291999995708466,-0.00900000333786011,-0.282999992370605,NA,NA,NA,NA,NA,NA,NA,-0.689999938011169,-1.66999983787537,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.568829953670502,1,2.24946689605713,0.0180215835571289,0,3.34175491333008,4.34999990463257,-0.036999985575676,-1.69000005722046,0.062529981136322,0,0,9.48267841339111,9.31331634521484,21.9047584533691,0.162911057472229,0.162911057472229,-16.1617641448975,"Equatorial Guinea",0.16936206817627,38.066520690918,0,0.00621000165119767,-0.388000011444092,-0.381999999284744,-0.303000003099442,-0.190999999642372,-0.160999998450279,NA,NA,NA,NA,0.200099974870682,12.8100004196167,2.87939524650574,-0.29223895072937,4.73000049591064,3,-0.380000114440918,4.73000001907349,0.00897000730037689,-0.0409999936819077,-0.582899987697601,13.1219504850453,12.2612760195733,0.0701945265809253,0
"GQ",2008,"Equatorial Guinea",411,-0.289000004529953,0.0139999985694885,-0.303000003099442,NA,NA,NA,NA,NA,NA,0,NA,NA,4.65000009536743,0.779999971389771,1.32000005245209,2.79999995231628,-0.279000014066696,0.0129999816417694,-0.291999995708466,NA,NA,NA,NA,NA,NA,NA,-0.540000081062317,1.85000014305115,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.385440021753311,1,2.26272177696228,0.0132548809051514,0,0.399340510368347,1.37000000476837,-0.00900000333786011,-0.689999938011169,0.00621000165119767,0,0,9.60920715332031,9.48267841339111,16.7542133331299,0.162911057472229,0.162911057472229,21.9047584533691,"Equatorial Guinea",0.126528739929199,-5.15054512023926,0,-0.00701999105513096,-0.375999987125397,-0.370999991893768,-0.289000004529953,-0.175999999046326,-0.149000003933907,NA,NA,NA,NA,0.16362002491951,17.5400009155273,2.58715629577637,-2.48360157012939,15.1499977111816,3,-2.98000001907349,4.34999990463257,-0.00756000028923154,-0.0130000114440918,-0.39996001124382,12.2612760195733,-8.06195188048952,-2.52088181638077,0
"GQ",2009,"Equatorial Guinea",411,-0.261000007390976,0.0279999971389771,-0.289000004529953,NA,NA,NA,NA,NA,NA,0,0,NA,5.73999977111816,6.03999996185303,0.779999971389771,4.65000009536743,-0.250999987125397,0.0280000269412994,-0.279000014066696,NA,NA,NA,NA,NA,NA,NA,5.26000022888184,1.08999967575073,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.217620000243187,1,2.2606406211853,-0.00208115577697754,0,-3.37613487243652,0.150000005960464,0.0129999816417694,-0.540000081062317,-0.00701999105513096,0,0,9.58923053741455,9.60920715332031,0.826579213142395,0.162911057472229,0.162911057472229,16.7542133331299,"",-0.0199766159057617,-15.9276342391968,0,0.147280141711235,-0.363999992609024,-0.34799998998642,-0.261000007390976,-0.135000005364418,-0.112999998033047,NA,NA,NA,NA,-1.52014005184174,32.689998626709,0.103554643690586,-3.6426637172699,-1.20999908447266,3,-1.22000002861023,1.37000000476837,0.147279992699623,0.0139999985694885,-0.225419998168945,-8.06195188048952,-1.30012941823568,5.20088413308105,0
"GQ",2010,"Equatorial Guinea",411,-0.243000000715256,0.0180000066757202,-0.261000007390976,NA,NA,NA,NA,NA,NA,0,0,NA,5.32000017166138,5.98999977111816,6.03999996185303,5.73999977111816,-0.237000003457069,0.0139999836683273,-0.250999987125397,NA,NA,NA,NA,NA,NA,NA,-0.0500001907348633,-0.419999599456787,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.51603996753693,1,2.25590896606445,-0.00473165512084961,0,2.01115918159485,0.140000000596046,0.0280000269412994,5.26000022888184,0.147280141711235,0,0,9.54396533966064,9.58923053741455,-1.69817769527435,0.162911057472229,0.162911057472229,0.826579213142395,"",-0.0452651977539062,-2.52475690841675,0,-0.000700001837685704,-0.360000014305115,-0.351999998092651,-0.243000000715256,-0.119999997317791,-0.0860000029206276,NA,NA,NA,NA,0.0130500504747033,31.4799995422363,-3.53910899162292,6.29347896575928,-8.93000030517578,3,-0.010000005364418,0.150000005960464,-0.000900003768038005,0.0279999971389771,-1.5764399766922,-1.30012941823568,4.99598788514926,-1.26023470194961,0
"GQ",2011,"Equatorial Guinea",411,-0.234999999403954,0.00800000131130219,-0.243000000715256,NA,NA,NA,NA,NA,NA,0,0,NA,4.80000019073486,8.97999954223633,5.98999977111816,5.32000017166138,-0.237000003457069,0,-0.237000003457069,NA,NA,NA,NA,NA,NA,NA,2.98999977111816,-0.519999980926514,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.41962993144989,1,2.2580235004425,0.00211453437805176,0,1.23400449752808,0.0500000007450581,0.0139999836683273,-0.0500001907348633,-0.000700001837685704,0,0,9.56416606903076,9.54396533966064,4.94710206985474,0.162911057472229,0.162911057472229,-1.69817769527435,"",0.0202007293701172,6.64527988433838,0,0,-0.361000001430511,-0.354999989271164,-0.234999999403954,-0.101999998092651,-0.0549999997019768,NA,NA,NA,NA,-0.726569950580597,22.5499992370605,2.75436973571777,-1.1677919626236,1.65000152587891,3,-0.0900000035762787,0.140000000596046,0.0239200014621019,0.0180000066757202,-1.45556998252869,4.99598788514926,3.22021327799919,0.551446271985255,0
"GR",1990,"Greece",350,-0.0689999982714653,NA,NA,3.10792421417977,0.0112832846827591,3.07324788341056,0.5,0.5,0,NA,NA,NA,20.3500003814697,73.3199996948242,59.9500007629395,NA,-0.0700000002980232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.529317736625671,2.2660346031189,NA,1,2.64712333679199,7.48999977111816,NA,NA,NA,1,0,9.64109325408936,NA,0,0.162911057472229,0.162911057472229,NA,"Greece",NA,NA,NA,NA,-0.230000004172325,-0.214000001549721,-0.0689999982714653,0.118000000715256,0.164000004529953,NA,NA,NA,NA,NA,NA,3.91646099090576,-0.891098737716675,NA,3,NA,NA,NA,NA,NA,0,3.10002678777424,-1,0
"GR",1991,"Greece",350,-0.0689999982714653,0,-0.0689999982714653,3.05010767621415,-0.0186029433091802,3.10792421417977,0.5,0.5,0,NA,NA,NA,19.5,74.8499984741211,73.3199996948242,20.3500003814697,-0.0710000023245811,-0.00100000202655792,-0.0700000002980232,NA,NA,NA,NA,NA,NA,NA,1.52999877929688,-0.850000381469727,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.13240003585815,0.491569042205811,2.26818871498108,0.00215411186218262,1,1.37450575828552,5.38000011444092,NA,NA,NA,1,0,9.66188430786133,9.64109325408936,3.09999179840088,0.162911057472229,0.162911057472229,0,"Greece",0.0207910537719727,3.09999179840088,0,-0.00153000187128782,-0.224000006914139,-0.209000006318092,-0.0689999982714653,0.108999997377396,0.153999999165535,NA,NA,NA,NA,-0.105569913983345,23.0599994659424,3.02536225318909,-1.78374373912811,-4.68999862670898,3,-2.10999965667725,7.48999977111816,0,NA,-5.05907964706421,3.10002678777424,0.699945557286867,3.42895416007865,0
