"country","iso2c","quarter","bond_yld_datastream","bond_yld_datastream_details"
"Austria","AT",1989.4,7.57,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1990.1,8.5,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1990.2,8.82,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1990.3,8.84,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1990.4,8.9,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1991.1,8.62,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1991.2,8.46,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1991.3,8.62,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1991.4,8.53,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1992.1,8.26,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1992.2,8.34,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1992.3,8.36,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1992.4,7.73,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1993.1,7.07,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1993.2,6.99,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1993.3,6.6,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1993.4,6.16,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1994.1,6.11,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1994.2,7.02,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1994.3,7.3,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1994.4,7.68,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1995.1,7.63,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1995.2,7.18,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1995.3,7,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1995.4,6.73,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1996.1,6.4,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1996.2,6.5,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1996.3,6.43,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1996.4,5.96,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1997.1,5.71,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1997.2,5.82,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1997.3,5.65,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1997.4,5.55,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1998.1,5.08,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1998.2,4.96,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1998.3,4.59,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1998.4,4.23,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1999.1,3.99,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1999.2,4.26,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1999.3,5.08,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",1999.4,5.38,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2000.1,5.7,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2000.2,5.56,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2000.3,5.57,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2000.4,5.4,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2001.1,5.07,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2001.2,5.26,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2001.3,5.16,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2001.4,4.83,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2002.1,5.18,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2002.2,5.31,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2002.3,4.8,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2002.4,4.56,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2003.1,4.09,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2003.2,3.92,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2003.3,4.17,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2003.4,4.38,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2004.1,4.18,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2004.2,4.34,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2004.3,4.18,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2004.4,3.81,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2005.1,3.6,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2005.2,3.38,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2005.3,3.22,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2005.4,3.37,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2006.1,3.49,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2006.2,3.99,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2006.3,3.92,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2006.4,3.8,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2007.1,4.05,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2007.2,4.39,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2007.3,4.43,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2007.4,4.32,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2008.1,4.18,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2008.2,4.54,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2008.3,4.57,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2008.4,4.14,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2009.1,4.12,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2009.2,4.15,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2009.3,3.85,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2009.4,3.62,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2010.1,3.65,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2010.2,3.29,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2010.3,2.88,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2010.4,3.09,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2011.1,3.63,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2011.2,3.57,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2011.3,2.94,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2011.4,3.13,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2012.1,3.05,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2012.2,2.54,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2012.3,2.03,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2012.4,1.88,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2013.1,1.88,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2013.2,1.81,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2013.3,2.21,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2013.4,2.15,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2014.1,1.98,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2014.2,1.68,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2014.3,1.32,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2014.4,0.96,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2015.1,0.45,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2015.2,0.69,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Austria","AT",2015.3,NA,"OE LONG TERM GOVERNMENT BOND YIELD - 10 YEAR"
"Australia","AU",1969.3,5.8,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
