"countrynum","yearnum","variable","value"
3,23,5,1
3,23,6,1
3,23,7,1
3,23,8,1
3,23,9,1
3,23,10,0
3,23,11,1
3,23,12,1
3,23,13,1
3,24,1,1
3,24,2,0
3,24,3,1
3,24,4,1
3,24,5,1
3,24,6,0
3,24,7,1
3,24,8,1
3,24,9,1
3,24,10,0
3,24,11,1
3,24,12,1
3,24,13,1
4,1,1,1
4,1,2,0
4,1,3,1
4,1,4,1
4,1,5,1
4,1,6,1
4,1,7,1
4,1,8,1
4,1,9,1
4,1,10,1
4,1,11,1
4,1,12,1
4,1,13,1
4,2,1,1
4,2,2,0
4,2,3,1
4,2,4,1
4,2,5,1
4,2,6,1
4,2,7,1
4,2,8,1
4,2,9,1
4,2,10,1
4,2,11,1
4,2,12,1
4,2,13,1
4,3,1,1
4,3,2,0
4,3,3,1
4,3,4,1
4,3,5,1
4,3,6,1
4,3,7,1
4,3,8,1
4,3,9,1
4,3,10,1
4,3,11,1
4,3,12,1
4,3,13,1
4,4,1,1
4,4,2,0
4,4,3,1
4,4,4,1
4,4,5,1
4,4,6,1
4,4,7,1
4,4,8,1
4,4,9,1
4,4,10,1
4,4,11,1
4,4,12,1
4,4,13,1
4,5,1,1
4,5,2,0
4,5,3,1
4,5,4,1
4,5,5,1
4,5,6,1
4,5,7,1
4,5,8,1
4,5,9,1
4,5,10,1
4,5,11,1
4,5,12,1
4,5,13,1
4,6,1,1
4,6,2,0
4,6,3,1
4,6,4,1
4,6,5,1
4,6,6,1
4,6,7,1
4,6,8,1
4,6,9,1
4,6,10,1
4,6,11,1
4,6,12,1
4,6,13,1
4,7,1,1
4,7,2,0
4,7,3,1
4,7,4,1
4,7,5,1
4,7,6,1
4,7,7,1
4,7,8,1
4,7,9,1
4,7,10,1
4,7,11,1
4,7,12,1
4,7,13,1
4,8,1,1
4,8,2,0
4,8,3,1
4,8,4,1
4,8,5,1
4,8,6,1
4,8,7,1
4,8,8,1
4,8,9,1
4,8,10,1
4,8,11,1
4,8,12,1
4,8,13,1
4,9,1,1
4,9,2,0
4,9,3,1
4,9,4,1
4,9,5,1
4,9,6,1
4,9,7,1
4,9,8,1
4,9,9,1
4,9,10,1
4,9,11,1
4,9,12,1
4,9,13,1
4,10,1,1
4,10,2,0
4,10,3,1
4,10,4,1
4,10,5,1
4,10,6,1
4,10,7,1
4,10,8,1
4,10,9,1
4,10,10,1
4,10,11,1
4,10,12,1
4,10,13,1
4,11,1,1
4,11,2,0
4,11,3,1
4,11,4,1
4,11,5,1
4,11,6,1
4,11,7,1
4,11,8,1
4,11,9,1
4,11,10,1
4,11,11,1
4,11,12,1
4,11,13,1
4,12,1,1
4,12,2,0
4,12,3,1
4,12,4,1
4,12,5,1
4,12,6,1
4,12,7,1
4,12,8,1
4,12,9,1
4,12,10,1
4,12,11,1
4,12,12,1
4,12,13,1
4,13,1,1
4,13,2,0
4,13,3,1
4,13,4,1
4,13,5,1
4,13,6,1
4,13,7,1
4,13,8,1
4,13,9,1
4,13,10,1
4,13,11,1
4,13,12,1
4,13,13,1
4,14,1,1
4,14,2,0
4,14,3,1
4,14,4,1
4,14,5,1
4,14,6,1
4,14,7,1
4,14,8,1
4,14,9,1
4,14,10,1
4,14,11,1
4,14,12,1
4,14,13,1
4,15,1,1
4,15,2,0
4,15,3,1
4,15,4,1
4,15,5,1
4,15,6,1
4,15,7,1
4,15,8,1
4,15,9,1
4,15,10,1
4,15,11,1
4,15,12,1
4,15,13,1
4,16,1,1
4,16,2,0
4,16,3,1
4,16,4,1
4,16,5,1
4,16,6,1
4,16,7,1
4,16,8,1
4,16,9,1
4,16,10,1
4,16,11,1
4,16,12,1
4,16,13,1
4,17,1,1
4,17,2,0
4,17,3,1
4,17,4,1
4,17,5,1
4,17,6,1
4,17,7,1
4,17,8,1
4,17,9,1
4,17,10,1
4,17,11,1
4,17,12,1
4,17,13,1
4,18,1,1
4,18,2,0
4,18,3,1
4,18,4,1
4,18,5,1
4,18,6,1
4,18,7,1
4,18,8,1
4,18,9,1
4,18,10,1
4,18,11,1
4,18,12,1
4,18,13,1
4,19,1,1
4,19,2,1
4,19,3,1
4,19,4,1
4,19,5,1
4,19,6,1
4,19,7,1
4,19,8,1
4,19,9,1
4,19,10,1
4,19,11,1
4,19,12,1
4,19,13,1
4,20,1,1
4,20,2,1
4,20,3,1
4,20,4,1
4,20,5,1
4,20,6,1
4,20,7,1
4,20,8,1
4,20,9,1
4,20,10,1
4,20,11,1
4,20,12,1
4,20,13,1
4,21,1,1
4,21,2,1
4,21,3,1
4,21,4,1
4,21,5,1
4,21,6,1
4,21,7,1
4,21,8,1
4,21,9,1
4,21,10,1
4,21,11,1
4,21,12,1
4,21,13,1
4,22,1,1
4,22,2,1
4,22,3,1
4,22,4,1
4,22,5,1
4,22,6,1
4,22,7,1
4,22,8,1
4,22,9,1
4,22,10,1
4,22,11,1
4,22,12,1
4,22,13,1
4,23,1,1
4,23,2,1
4,23,3,1
4,23,4,1
4,23,5,1
4,23,6,1
4,23,7,1
4,23,8,1
4,23,9,1
4,23,10,1
4,23,11,1
4,23,12,1
4,23,13,1
4,24,1,1
4,24,2,1
4,24,3,1
4,24,4,1
4,24,5,1
4,24,6,0
4,24,7,1
4,24,8,0
4,24,9,1
4,24,10,1
4,24,11,1
4,24,12,1
4,24,13,1
5,1,1,0
5,1,2,0
5,1,3,0
5,1,4,0
5,1,5,0
5,1,6,0
5,1,7,0
5,1,8,0
5,1,9,0
5,1,10,1
5,1,11,0
5,1,12,0
5,1,13,1
5,2,1,1
5,2,2,0
5,2,3,0
5,2,4,1
5,2,5,0
5,2,6,0
5,2,7,1
5,2,8,0
5,2,9,0
5,2,10,1
5,2,11,1
5,2,12,1
5,2,13,1
5,3,1,1
5,3,2,0
5,3,3,0
5,3,4,1
5,3,5,0
5,3,6,0
5,3,7,1
5,3,8,0
5,3,9,0
5,3,10,1
5,3,11,1
5,3,12,1
5,3,13,1
5,4,1,1
5,4,2,0
5,4,3,0
5,4,4,1
5,4,5,0
5,4,6,0
5,4,7,1
5,4,8,0
5,4,9,0
5,4,10,1
5,4,11,1
5,4,12,1
5,4,13,1
5,5,1,1
5,5,2,0
5,5,3,0
5,5,4,1
5,5,5,0
5,5,6,0
5,5,7,1
5,5,8,0
5,5,9,1
5,5,10,1
5,5,11,1
5,5,12,1
5,5,13,1
5,6,1,1
5,6,2,0
5,6,3,0
5,6,4,1
5,6,5,0
5,6,6,0
5,6,7,1
5,6,8,0
5,6,9,1
5,6,10,1
5,6,11,1
5,6,12,1
5,6,13,1
5,7,1,1
5,7,2,0
5,7,3,0
5,7,4,1
5,7,5,0
5,7,6,0
5,7,7,1
5,7,8,0
5,7,9,1
5,7,10,1
5,7,11,1
5,7,12,1
5,7,13,1
5,8,1,1
5,8,2,0
5,8,3,0
5,8,4,1
5,8,5,0
5,8,6,0
5,8,7,1
5,8,8,0
5,8,9,1
5,8,10,1
5,8,11,1
5,8,12,1
5,8,13,1
5,9,1,1
5,9,2,0
5,9,3,0
5,9,4,1
