"countrynum","yearnum","variable","value"
18,19,8,1
18,19,9,1
18,19,10,1
18,19,11,1
18,19,12,1
18,19,13,1
18,20,1,0
18,20,2,0
18,20,3,0
18,20,4,1
18,20,5,0
18,20,6,1
18,20,7,1
18,20,8,1
18,20,9,1
18,20,10,1
18,20,11,1
18,20,12,1
18,20,13,0
18,21,1,0
18,21,2,0
18,21,3,0
18,21,4,1
18,21,5,0
18,21,6,1
18,21,7,1
18,21,8,1
18,21,9,1
18,21,10,1
18,21,11,1
18,21,12,1
18,21,13,0
18,22,1,0
18,22,2,0
18,22,3,0
18,22,4,1
18,22,5,0
18,22,6,1
18,22,7,1
18,22,8,1
18,22,9,1
18,22,10,1
18,22,11,1
18,22,12,1
18,22,13,0
18,23,1,0
18,23,2,0
18,23,3,0
18,23,4,1
18,23,5,0
18,23,6,1
18,23,7,1
18,23,8,1
18,23,9,1
18,23,10,1
18,23,11,1
18,23,12,1
18,23,13,0
18,24,1,0
18,24,2,0
18,24,3,0
18,24,4,1
18,24,5,0
18,24,6,1
18,24,7,1
18,24,8,1
18,24,9,1
18,24,10,1
18,24,11,1
18,24,12,1
18,24,13,0
19,1,1,0
19,1,2,0
19,1,3,1
19,1,4,0
19,1,5,0
19,1,6,0
19,1,7,0
19,1,8,0
19,1,9,1
19,1,10,1
19,1,11,1
19,1,12,0
19,1,13,1
19,2,1,0
19,2,2,0
19,2,3,1
19,2,4,0
19,2,5,0
19,2,6,0
19,2,7,0
19,2,8,0
19,2,9,1
19,2,10,1
19,2,11,1
19,2,12,0
19,2,13,1
19,3,1,1
19,3,2,0
19,3,3,1
19,3,4,1
19,3,5,1
19,3,6,0
19,3,7,1
19,3,8,0
19,3,9,1
19,3,10,1
19,3,11,1
19,3,12,1
19,3,13,1
19,4,1,1
19,4,2,0
19,4,3,1
19,4,4,1
19,4,5,1
19,4,6,0
19,4,7,1
19,4,8,0
19,4,9,1
19,4,10,1
19,4,11,1
19,4,12,1
19,4,13,1
19,5,1,1
19,5,2,0
19,5,3,1
19,5,4,1
19,5,5,1
19,5,6,0
19,5,7,1
19,5,8,0
19,5,9,1
19,5,10,1
19,5,11,1
19,5,12,1
19,5,13,1
19,6,1,1
19,6,2,0
19,6,3,1
19,6,4,1
19,6,5,1
19,6,6,0
19,6,7,1
19,6,8,0
19,6,9,1
19,6,10,1
19,6,11,1
19,6,12,1
19,6,13,1
19,7,1,1
19,7,2,0
19,7,3,1
19,7,4,1
19,7,5,1
19,7,6,0
19,7,7,1
19,7,8,0
19,7,9,1
19,7,10,1
19,7,11,1
19,7,12,1
19,7,13,1
19,8,1,1
19,8,2,0
19,8,3,1
19,8,4,1
19,8,5,1
19,8,6,0
19,8,7,1
19,8,8,0
19,8,9,1
19,8,10,1
19,8,11,1
19,8,12,1
19,8,13,1
19,9,1,1
19,9,2,0
19,9,3,1
19,9,4,1
19,9,5,1
19,9,6,0
19,9,7,1
19,9,8,0
19,9,9,1
19,9,10,1
19,9,11,1
19,9,12,1
19,9,13,1
19,10,1,1
19,10,2,0
19,10,3,1
19,10,4,1
19,10,5,1
19,10,6,0
19,10,7,1
19,10,8,1
19,10,9,1
19,10,10,1
19,10,11,1
19,10,12,1
19,10,13,1
19,11,1,1
19,11,2,0
19,11,3,1
19,11,4,1
19,11,5,1
19,11,6,1
19,11,7,1
19,11,8,1
19,11,9,1
19,11,10,1
19,11,11,1
19,11,12,1
19,11,13,1
19,12,1,1
19,12,2,0
19,12,3,1
19,12,4,1
19,12,5,1
19,12,6,1
19,12,7,1
19,12,8,1
19,12,9,1
19,12,10,1
19,12,11,1
19,12,12,1
19,12,13,1
19,13,1,1
19,13,2,0
19,13,3,1
19,13,4,1
19,13,5,1
19,13,6,1
19,13,7,1
19,13,8,1
19,13,9,1
19,13,10,1
19,13,11,1
19,13,12,1
19,13,13,1
19,14,1,1
19,14,2,0
19,14,3,1
19,14,4,1
19,14,5,1
19,14,6,1
19,14,7,1
19,14,8,1
19,14,9,1
19,14,10,0
19,14,11,1
19,14,12,1
19,14,13,1
19,15,1,1
19,15,2,0
19,15,3,1
19,15,4,1
19,15,5,1
19,15,6,1
19,15,7,1
19,15,8,1
19,15,9,1
19,15,10,0
19,15,11,1
19,15,12,1
19,15,13,1
19,16,1,1
19,16,2,0
19,16,3,1
19,16,4,1
19,16,5,1
19,16,6,1
19,16,7,1
19,16,8,1
19,16,9,1
19,16,10,0
19,16,11,1
19,16,12,1
19,16,13,1
19,17,1,1
19,17,2,0
19,17,3,1
19,17,4,1
19,17,5,1
19,17,6,1
19,17,7,1
19,17,8,1
19,17,9,1
19,17,10,0
19,17,11,1
19,17,12,1
19,17,13,1
19,18,1,1
19,18,2,0
19,18,3,1
19,18,4,1
19,18,5,1
19,18,6,1
19,18,7,1
19,18,8,1
19,18,9,1
19,18,10,0
19,18,11,1
19,18,12,1
19,18,13,1
19,19,1,1
19,19,2,0
19,19,3,1
19,19,4,1
19,19,5,1
19,19,6,1
19,19,7,1
19,19,8,1
19,19,9,1
19,19,10,0
19,19,11,1
19,19,12,1
19,19,13,1
19,20,1,1
19,20,2,0
19,20,3,1
19,20,4,1
19,20,5,1
19,20,6,1
19,20,7,1
19,20,8,1
19,20,9,1
19,20,10,0
19,20,11,1
19,20,12,1
19,20,13,1
19,21,1,1
19,21,2,0
19,21,3,1
19,21,4,1
19,21,5,1
19,21,6,1
19,21,7,1
19,21,8,1
19,21,9,1
19,21,10,0
19,21,11,1
19,21,12,1
19,21,13,1
19,22,1,1
19,22,2,0
19,22,3,1
19,22,4,1
19,22,5,1
19,22,6,1
19,22,7,1
19,22,8,1
19,22,9,1
19,22,10,0
19,22,11,1
19,22,12,1
19,22,13,1
19,23,1,1
19,23,2,0
19,23,3,1
19,23,4,1
19,23,5,1
19,23,6,1
19,23,7,1
19,23,8,1
19,23,9,1
19,23,10,0
19,23,11,1
19,23,12,1
19,23,13,1
19,24,1,1
19,24,2,0
19,24,3,1
19,24,4,1
19,24,5,1
19,24,6,1
19,24,7,1
19,24,8,1
19,24,9,1
19,24,10,0
19,24,11,1
19,24,12,1
19,24,13,1
20,1,1,1
20,1,2,0
20,1,3,1
20,1,4,1
20,1,5,1
20,1,6,0
20,1,7,1
20,1,8,0
20,1,9,1
20,1,10,1
20,1,11,1
20,1,12,1
20,1,13,1
20,2,1,1
20,2,2,0
20,2,3,1
20,2,4,1
20,2,5,1
20,2,6,0
20,2,7,1
20,2,8,0
20,2,9,1
20,2,10,1
20,2,11,1
20,2,12,1
20,2,13,1
20,3,1,1
20,3,2,0
20,3,3,1
20,3,4,1
20,3,5,1
20,3,6,0
20,3,7,1
20,3,8,0
20,3,9,1
20,3,10,1
20,3,11,1
20,3,12,1
20,3,13,1
20,4,1,1
20,4,2,0
20,4,3,1
20,4,4,1
20,4,5,1
20,4,6,0
20,4,7,1
20,4,8,0
20,4,9,1
20,4,10,1
20,4,11,1
20,4,12,1
20,4,13,1
20,5,1,1
20,5,2,0
20,5,3,1
20,5,4,1
20,5,5,1
20,5,6,0
20,5,7,1
20,5,8,1
20,5,9,1
20,5,10,1
20,5,11,1
20,5,12,1
20,5,13,1
20,6,1,1
20,6,2,0
20,6,3,1
20,6,4,1
20,6,5,1
20,6,6,0
20,6,7,1
20,6,8,1
20,6,9,1
20,6,10,1
20,6,11,1
20,6,12,1
20,6,13,1
20,7,1,1
20,7,2,0
20,7,3,1
20,7,4,1
20,7,5,1
20,7,6,0
20,7,7,1
20,7,8,1
20,7,9,1
20,7,10,1
20,7,11,1
20,7,12,1
20,7,13,1
20,8,1,1
20,8,2,0
20,8,3,1
20,8,4,1
20,8,5,1
20,8,6,0
20,8,7,1
20,8,8,1
20,8,9,1
20,8,10,1
20,8,11,1
20,8,12,1
20,8,13,1
20,9,1,1
20,9,2,0
20,9,3,1
20,9,4,1
20,9,5,1
20,9,6,0
20,9,7,1
20,9,8,1
20,9,9,1
20,9,10,1
20,9,11,1
20,9,12,1
20,9,13,1
20,10,1,1
20,10,2,0
20,10,3,1
20,10,4,1
20,10,5,1
20,10,6,0
20,10,7,1
20,10,8,1
20,10,9,1
20,10,10,1
20,10,11,1
20,10,12,1
20,10,13,1
20,11,1,1
20,11,2,0
20,11,3,1
20,11,4,1
20,11,5,1
20,11,6,1
20,11,7,1
20,11,8,1
20,11,9,1
20,11,10,1
20,11,11,1
20,11,12,1
20,11,13,1
20,12,1,1
20,12,2,0
20,12,3,1
20,12,4,1
20,12,5,1
20,12,6,1
20,12,7,1
20,12,8,1
20,12,9,1
20,12,10,1
20,12,11,1
20,12,12,1
20,12,13,1
20,13,1,1
20,13,2,0
20,13,3,1
20,13,4,1
20,13,5,1
20,13,6,1
20,13,7,1
20,13,8,1
20,13,9,1
20,13,10,1
20,13,11,1
20,13,12,1
20,13,13,1
20,14,1,1
20,14,2,0
20,14,3,1
20,14,4,1
20,14,5,1
20,14,6,1
20,14,7,1
20,14,8,1
20,14,9,1
20,14,10,0
20,14,11,1
20,14,12,1
20,14,13,1
20,15,1,1
20,15,2,0
20,15,3,1
20,15,4,1
20,15,5,1
20,15,6,1
20,15,7,1
20,15,8,1
20,15,9,1
20,15,10,0
20,15,11,1
20,15,12,1
20,15,13,1
20,16,1,1
20,16,2,0
20,16,3,1
20,16,4,1
20,16,5,1
20,16,6,1
20,16,7,1
20,16,8,1
20,16,9,1
20,16,10,0
20,16,11,1
20,16,12,1
20,16,13,1
20,17,1,1
20,17,2,0
20,17,3,1
20,17,4,1
20,17,5,1
20,17,6,1
20,17,7,1
20,17,8,1
20,17,9,1
20,17,10,0
20,17,11,1
20,17,12,1
20,17,13,1
20,18,1,1
20,18,2,0
20,18,3,1
20,18,4,1
20,18,5,1
20,18,6,1
20,18,7,1
20,18,8,1
20,18,9,1
20,18,10,0
20,18,11,1
20,18,12,1
20,18,13,1
20,19,1,1
20,19,2,0
20,19,3,1
20,19,4,1
20,19,5,1
20,19,6,1
20,19,7,1
20,19,8,1
20,19,9,1
20,19,10,0
20,19,11,1
20,19,12,1
20,19,13,1
20,20,1,0
20,20,2,0
20,20,3,1
20,20,4,1
20,20,5,1
20,20,6,1
20,20,7,1
20,20,8,1
20,20,9,1
20,20,10,0
20,20,11,1
20,20,12,1
20,20,13,0
20,21,1,0
20,21,2,0
20,21,3,1
20,21,4,1
20,21,5,1
20,21,6,1
20,21,7,1
20,21,8,1
20,21,9,1
20,21,10,0
20,21,11,1
20,21,12,1
20,21,13,0
20,22,1,0
20,22,2,0
20,22,3,1
20,22,4,1
20,22,5,1
20,22,6,1
20,22,7,1
20,22,8,1
20,22,9,1
20,22,10,0
20,22,11,1
20,22,12,1
20,22,13,0
20,23,1,0
20,23,2,0
20,23,3,1
20,23,4,1
20,23,5,1
20,23,6,1
20,23,7,1
20,23,8,1
20,23,9,1
20,23,10,0
20,23,11,1
20,23,12,1
20,23,13,0
20,24,1,0
20,24,2,0
20,24,3,1
20,24,4,1
20,24,5,1
20,24,6,1
20,24,7,1
20,24,8,1
20,24,9,1
20,24,10,0
20,24,11,1
20,24,12,1
20,24,13,0
21,1,1,1
21,1,2,0
21,1,3,1
21,1,4,1
21,1,5,1
21,1,6,0
21,1,7,1
21,1,8,0
21,1,9,1
21,1,10,0
21,1,11,1
21,1,12,1
21,1,13,1
21,2,1,1
21,2,2,0
21,2,3,1
21,2,4,1
21,2,5,1
21,2,6,0
21,2,7,1
21,2,8,0
21,2,9,1
21,2,10,1
21,2,11,1
21,2,12,1
21,2,13,1
21,3,1,1
21,3,2,0
21,3,3,1
21,3,4,1
21,3,5,1
21,3,6,0
21,3,7,1
21,3,8,0
21,3,9,1
21,3,10,1
21,3,11,1
21,3,12,1
21,3,13,1
21,4,1,1
21,4,2,0
21,4,3,1
21,4,4,1
21,4,5,1
21,4,6,0
21,4,7,1
21,4,8,0
21,4,9,1
21,4,10,1
21,4,11,1
21,4,12,1
21,4,13,1
21,5,1,1
21,5,2,0
21,5,3,1
21,5,4,1
21,5,5,1
21,5,6,0
21,5,7,1
21,5,8,0
21,5,9,1
21,5,10,1
21,5,11,1
21,5,12,1
21,5,13,1
21,6,1,1
21,6,2,0
21,6,3,1
21,6,4,1
21,6,5,1
21,6,6,0
21,6,7,1
21,6,8,0
21,6,9,1
21,6,10,1
21,6,11,1
21,6,12,1
21,6,13,1
21,7,1,1
21,7,2,0
21,7,3,1
21,7,4,1
21,7,5,0
21,7,6,0
21,7,7,1
21,7,8,0
21,7,9,1
21,7,10,1
21,7,11,1
21,7,12,1
21,7,13,1
21,8,1,1
21,8,2,0
21,8,3,1
21,8,4,1
21,8,5,0
21,8,6,0
21,8,7,1
21,8,8,0
21,8,9,1
21,8,10,1
21,8,11,1
21,8,12,1
21,8,13,1
21,9,1,1
21,9,2,0
21,9,3,1
21,9,4,1
21,9,5,0
21,9,6,0
21,9,7,1
21,9,8,0
21,9,9,1
21,9,10,1
21,9,11,1
21,9,12,1
21,9,13,1
21,10,1,1
21,10,2,1
21,10,3,1
21,10,4,1
21,10,5,1
21,10,6,0
21,10,7,1
21,10,8,0
21,10,9,1
21,10,10,1
21,10,11,1
21,10,12,1
21,10,13,1
21,11,1,1
21,11,2,1
21,11,3,1
21,11,4,1
21,11,5,1
21,11,6,1
21,11,7,1
21,11,8,0
21,11,9,1
21,11,10,1
21,11,11,1
21,11,12,1
21,11,13,1
21,12,1,1
21,12,2,1
21,12,3,1
21,12,4,1
21,12,5,1
21,12,6,1
21,12,7,1
21,12,8,0
21,12,9,1
21,12,10,1
21,12,11,1
21,12,12,1
21,12,13,1
21,13,1,1
21,13,2,1
21,13,3,1
21,13,4,1
21,13,5,1
21,13,6,1
21,13,7,1
21,13,8,1
21,13,9,1
21,13,10,1
21,13,11,1
21,13,12,1
21,13,13,1
21,14,1,1
21,14,2,1
21,14,3,1
21,14,4,1
21,14,5,1
21,14,6,1
21,14,7,1
21,14,8,1
21,14,9,1
21,14,10,1
21,14,11,1
21,14,12,1
21,14,13,1
21,15,1,1
21,15,2,1
21,15,3,1
21,15,4,1
21,15,5,1
21,15,6,1
21,15,7,1
21,15,8,1
21,15,9,1
21,15,10,1
21,15,11,1
21,15,12,1
21,15,13,1
21,16,1,1
21,16,2,1
21,16,3,1
21,16,4,1
21,16,5,1
21,16,6,1
21,16,7,1
21,16,8,1
21,16,9,1
21,16,10,1
21,16,11,1
21,16,12,1
21,16,13,1
21,17,1,1
21,17,2,1
21,17,3,1
21,17,4,1
21,17,5,1
21,17,6,1
21,17,7,1
21,17,8,1
21,17,9,1
21,17,10,1
21,17,11,1
21,17,12,1
21,17,13,1
21,18,1,1
21,18,2,1
21,18,3,1
21,18,4,1
21,18,5,1
21,18,6,1
21,18,7,1
21,18,8,1
21,18,9,1
21,18,10,1
21,18,11,1
21,18,12,1
21,18,13,1
21,19,1,1
21,19,2,1
21,19,3,1
21,19,4,1
21,19,5,1
21,19,6,1
21,19,7,1
21,19,8,1
21,19,9,1
21,19,10,0
21,19,11,1
21,19,12,1
21,19,13,1
21,20,1,1
21,20,2,1
21,20,3,1
21,20,4,1
21,20,5,1
21,20,6,1
21,20,7,1
21,20,8,1
21,20,9,1
21,20,10,0
21,20,11,1
21,20,12,1
21,20,13,1
21,21,1,1
21,21,2,1
21,21,3,1
21,21,4,1
21,21,5,1
21,21,6,1
21,21,7,1
21,21,8,1
21,21,9,1
21,21,10,0
21,21,11,1
21,21,12,1
21,21,13,1
21,22,1,1
21,22,2,1
21,22,3,1
21,22,4,1
21,22,5,1
21,22,6,1
21,22,7,1
21,22,8,1
21,22,9,1
21,22,10,0
21,22,11,1
21,22,12,1
21,22,13,1
21,23,1,1
21,23,2,0
21,23,3,1
21,23,4,1
21,23,5,1
21,23,6,1
21,23,7,1
21,23,8,1
21,23,9,1
21,23,10,0
21,23,11,1
21,23,12,1
21,23,13,1
21,24,1,1
21,24,2,0
21,24,3,1
21,24,4,1
21,24,5,1
21,24,6,0
21,24,7,1
21,24,8,0
21,24,9,1
21,24,10,0
21,24,11,1
21,24,12,1
21,24,13,1
22,1,1,0
22,1,2,0
22,1,3,0
22,1,4,0
22,1,5,0
22,1,6,0
22,1,7,0
22,1,8,0
22,1,9,0
22,1,10,0
22,1,11,0
22,1,12,0
22,1,13,0
22,2,1,0
22,2,2,0
22,2,3,1
22,2,4,0
22,2,5,0
22,2,6,0
22,2,7,0
22,2,8,0
22,2,9,0
22,2,10,0
22,2,11,0
22,2,12,0
22,2,13,1
22,3,1,0
22,3,2,0
22,3,3,0
22,3,4,0
22,3,5,0
22,3,6,0
22,3,7,0
22,3,8,0
22,3,9,0
22,3,10,0
22,3,11,0
22,3,12,0
22,3,13,1
22,4,1,1
22,4,2,0
22,4,3,1
22,4,4,0
22,4,5,0
22,4,6,0
22,4,7,1
22,4,8,0
22,4,9,0
22,4,10,0
22,4,11,1
22,4,12,1
22,4,13,1
22,5,1,1
22,5,2,0
22,5,3,1
22,5,4,0
22,5,5,1
22,5,6,0
22,5,7,1
22,5,8,0
22,5,9,0
22,5,10,1
22,5,11,1
22,5,12,1
22,5,13,1
22,6,1,1
22,6,2,0
22,6,3,1
22,6,4,0
22,6,5,1
22,6,6,0
22,6,7,1
22,6,8,0
22,6,9,1
22,6,10,1
22,6,11,1
22,6,12,1
22,6,13,1
22,7,1,1
22,7,2,0
22,7,3,1
22,7,4,0
22,7,5,1
22,7,6,0
22,7,7,1
22,7,8,0
22,7,9,1
22,7,10,1
22,7,11,1
22,7,12,1
22,7,13,1
22,8,1,1
22,8,2,0
22,8,3,1
22,8,4,0
22,8,5,1
22,8,6,0
22,8,7,1
22,8,8,0
22,8,9,1
22,8,10,1
22,8,11,1
22,8,12,1
22,8,13,1
22,9,1,1
22,9,2,0
22,9,3,1
22,9,4,0
22,9,5,1
22,9,6,0
22,9,7,1
22,9,8,0
22,9,9,1
22,9,10,1
22,9,11,1
22,9,12,1
22,9,13,1
22,10,1,1
22,10,2,0
22,10,3,1
22,10,4,0
22,10,5,1
22,10,6,0
22,10,7,1
22,10,8,0
22,10,9,1
22,10,10,1
22,10,11,1
22,10,12,1
22,10,13,1
22,11,1,1
22,11,2,0
22,11,3,1
22,11,4,0
22,11,5,1
22,11,6,0
22,11,7,1
22,11,8,0
22,11,9,1
22,11,10,1
22,11,11,1
22,11,12,1
22,11,13,1
22,12,1,1
22,12,2,0
22,12,3,1
22,12,4,0
22,12,5,1
22,12,6,0
22,12,7,1
22,12,8,0
22,12,9,1
22,12,10,1
22,12,11,1
22,12,12,1
22,12,13,1
22,13,1,1
22,13,2,0
22,13,3,1
22,13,4,0
22,13,5,1
22,13,6,0
22,13,7,1
22,13,8,0
22,13,9,1
22,13,10,1
22,13,11,1
22,13,12,1
22,13,13,1
22,14,1,1
22,14,2,0
22,14,3,1
22,14,4,0
22,14,5,1
22,14,6,0
22,14,7,1
22,14,8,0
22,14,9,1
22,14,10,1
22,14,11,1
22,14,12,1
22,14,13,1
22,15,1,1
22,15,2,0
22,15,3,1
22,15,4,0
22,15,5,1
22,15,6,1
22,15,7,1
22,15,8,0
22,15,9,1
22,15,10,1
22,15,11,1
22,15,12,1
22,15,13,1
22,16,1,1
22,16,2,0
22,16,3,1
22,16,4,0
22,16,5,1
22,16,6,1
22,16,7,1
22,16,8,0
22,16,9,1
22,16,10,1
22,16,11,1
22,16,12,1
22,16,13,1
22,17,1,1
22,17,2,0
22,17,3,1
22,17,4,0
22,17,5,1
22,17,6,1
22,17,7,1
22,17,8,0
22,17,9,1
22,17,10,1
22,17,11,1
22,17,12,1
22,17,13,1
22,18,1,1
22,18,2,0
22,18,3,1
22,18,4,0
22,18,5,1
22,18,6,1
22,18,7,1
22,18,8,1
22,18,9,1
22,18,10,1
22,18,11,1
22,18,12,1
22,18,13,1
22,19,1,1
22,19,2,0
22,19,3,1
22,19,4,0
22,19,5,1
22,19,6,1
22,19,7,1
22,19,8,1
22,19,9,1
22,19,10,1
22,19,11,1
22,19,12,1
22,19,13,1
22,20,1,1
22,20,2,0
22,20,3,1
22,20,4,0
22,20,5,1
22,20,6,1
22,20,7,1
22,20,8,1
22,20,9,1
22,20,10,1
22,20,11,1
22,20,12,1
22,20,13,1
22,21,1,1
22,21,2,0
22,21,3,1
22,21,4,0
22,21,5,1
22,21,6,1
22,21,7,1
22,21,8,1
22,21,9,1
22,21,10,1
22,21,11,1
22,21,12,1
22,21,13,1
22,22,1,1
22,22,2,0
22,22,3,1
22,22,4,0
22,22,5,1
22,22,6,1
22,22,7,1
22,22,8,1
22,22,9,1
22,22,10,1
22,22,11,1
22,22,12,1
22,22,13,1
22,23,1,1
22,23,2,0
22,23,3,1
22,23,4,1
22,23,5,1
22,23,6,1
22,23,7,1
22,23,8,1
22,23,9,1
22,23,10,1
22,23,11,1
22,23,12,1
22,23,13,1
22,24,1,1
22,24,2,0
22,24,3,1
22,24,4,1
22,24,5,1
22,24,6,1
22,24,7,1
22,24,8,1
22,24,9,1
22,24,10,1
22,24,11,1
22,24,12,1
22,24,13,1
23,1,1,1
23,1,2,1
23,1,3,1
23,1,4,1
23,1,5,1
23,1,6,0
23,1,7,1
23,1,8,0
23,1,9,1
23,1,10,1
23,1,11,1
23,1,12,1
23,1,13,1
23,2,1,1
23,2,2,1
23,2,3,1
23,2,4,1
23,2,5,1
23,2,6,0
23,2,7,1
23,2,8,0
23,2,9,1
23,2,10,0
23,2,11,1
23,2,12,1
23,2,13,1
23,3,1,1
23,3,2,1
23,3,3,1
23,3,4,1
23,3,5,1
23,3,6,0
23,3,7,1
23,3,8,0
23,3,9,1
23,3,10,1
23,3,11,1
23,3,12,1
23,3,13,1
23,4,1,1
23,4,2,1
23,4,3,1
23,4,4,1
23,4,5,1
23,4,6,0
23,4,7,1
23,4,8,0
23,4,9,1
23,4,10,1
23,4,11,1
23,4,12,1
23,4,13,1
23,5,1,1
23,5,2,1
23,5,3,1
23,5,4,1
23,5,5,1
23,5,6,0
23,5,7,1
23,5,8,0
23,5,9,1
23,5,10,1
23,5,11,1
23,5,12,1
23,5,13,1
23,6,1,1
23,6,2,1
23,6,3,1
23,6,4,1
23,6,5,1
23,6,6,0
23,6,7,1
23,6,8,0
23,6,9,1
23,6,10,1
23,6,11,1
23,6,12,1
23,6,13,1
23,7,1,1
23,7,2,1
23,7,3,1
23,7,4,1
23,7,5,1
23,7,6,0
23,7,7,1
23,7,8,0
23,7,9,1
23,7,10,1
23,7,11,1
23,7,12,1
23,7,13,1
23,8,1,1
23,8,2,1
23,8,3,1
23,8,4,1
23,8,5,1
23,8,6,0
23,8,7,1
23,8,8,0
23,8,9,1
23,8,10,1
23,8,11,1
23,8,12,1
23,8,13,1
23,9,1,1
23,9,2,1
23,9,3,1
23,9,4,1
23,9,5,1
23,9,6,0
23,9,7,1
23,9,8,0
23,9,9,1
23,9,10,1
23,9,11,1
23,9,12,1
23,9,13,1
23,10,1,1
23,10,2,1
23,10,3,1
23,10,4,1
23,10,5,1
23,10,6,0
23,10,7,1
23,10,8,1
23,10,9,1
23,10,10,1
23,10,11,1
23,10,12,1
23,10,13,1
23,11,1,1
23,11,2,1
23,11,3,1
23,11,4,1
23,11,5,1
23,11,6,1
23,11,7,1
23,11,8,1
23,11,9,1
23,11,10,1
23,11,11,1
23,11,12,1
23,11,13,1
23,12,1,1
23,12,2,1
23,12,3,1
23,12,4,1
23,12,5,1
23,12,6,1
23,12,7,1
23,12,8,1
23,12,9,1
23,12,10,1
23,12,11,1
23,12,12,1
23,12,13,1
23,13,1,1
23,13,2,1
23,13,3,1
23,13,4,1
23,13,5,1
23,13,6,0
23,13,7,1
23,13,8,1
23,13,9,1
23,13,10,1
23,13,11,1
23,13,12,1
23,13,13,1
23,14,1,1
23,14,2,1
23,14,3,1
23,14,4,1
23,14,5,1
23,14,6,0
23,14,7,1
23,14,8,1
23,14,9,1
23,14,10,1
23,14,11,1
23,14,12,1
23,14,13,1
23,15,1,1
23,15,2,1
23,15,3,1
23,15,4,1
23,15,5,1
23,15,6,1
23,15,7,1
23,15,8,1
23,15,9,1
23,15,10,1
23,15,11,1
23,15,12,1
23,15,13,1
23,16,1,1
23,16,2,1
23,16,3,1
23,16,4,1
23,16,5,1
23,16,6,1
23,16,7,1
23,16,8,1
23,16,9,1
23,16,10,1
23,16,11,1
23,16,12,1
23,16,13,1
23,17,1,1
23,17,2,1
23,17,3,1
23,17,4,1
23,17,5,1
23,17,6,1
23,17,7,1
23,17,8,1
23,17,9,1
23,17,10,1
23,17,11,1
23,17,12,1
23,17,13,1
23,18,1,1
23,18,2,1
23,18,3,1
23,18,4,1
23,18,5,1
23,18,6,0
23,18,7,1
23,18,8,1
23,18,9,1
23,18,10,1
23,18,11,1
23,18,12,1
23,18,13,1
23,19,1,1
23,19,2,0
23,19,3,1
23,19,4,1
23,19,5,1
23,19,6,0
23,19,7,1
23,19,8,1
23,19,9,1
23,19,10,1
23,19,11,1
23,19,12,1
23,19,13,1
23,20,1,1
23,20,2,0
23,20,3,1
23,20,4,1
23,20,5,1
23,20,6,1
23,20,7,1
23,20,8,1
23,20,9,1
23,20,10,1
23,20,11,1
23,20,12,1
23,20,13,1
23,21,1,1
23,21,2,0
23,21,3,1
23,21,4,1
23,21,5,1
23,21,6,0
23,21,7,1
23,21,8,1
23,21,9,1
23,21,10,1
23,21,11,1
23,21,12,1
23,21,13,1
23,22,1,1
23,22,2,0
23,22,3,1
23,22,4,1
23,22,5,1
23,22,6,0
23,22,7,1
23,22,8,1
23,22,9,1
23,22,10,1
23,22,11,1
23,22,12,1
23,22,13,1
23,23,1,1
23,23,2,0
23,23,3,1
23,23,4,1
23,23,5,1
23,23,6,0
23,23,7,1
23,23,8,1
23,23,9,1
23,23,10,1
23,23,11,1
23,23,12,1
23,23,13,1
23,24,1,1
23,24,2,0
23,24,3,1
23,24,4,1
23,24,5,1
23,24,6,0
23,24,7,1
23,24,8,0
23,24,9,1
23,24,10,1
23,24,11,1
23,24,12,1
23,24,13,1
24,1,1,1
24,1,2,0
24,1,3,1
24,1,4,1
24,1,5,1
24,1,6,0
24,1,7,1
24,1,8,0
24,1,9,1
24,1,10,1
24,1,11,1
24,1,12,1
24,1,13,1
24,2,1,1
24,2,2,0
24,2,3,1
24,2,4,1
24,2,5,1
24,2,6,0
24,2,7,1
24,2,8,0
24,2,9,1
24,2,10,1
24,2,11,1
24,2,12,1
24,2,13,1
24,3,1,1
24,3,2,0
24,3,3,1
24,3,4,1
24,3,5,1
24,3,6,0
24,3,7,1
24,3,8,0
24,3,9,1
24,3,10,1
24,3,11,1
24,3,12,1
24,3,13,1
24,4,1,1
24,4,2,0
24,4,3,1
24,4,4,1
24,4,5,1
24,4,6,0
24,4,7,1
24,4,8,0
24,4,9,1
24,4,10,1
24,4,11,1
24,4,12,1
24,4,13,1
24,5,1,1
24,5,2,0
24,5,3,1
24,5,4,1
24,5,5,1
24,5,6,0
24,5,7,1
24,5,8,0
24,5,9,1
24,5,10,1
24,5,11,1
24,5,12,1
24,5,13,1
24,6,1,1
24,6,2,0
24,6,3,1
24,6,4,1
24,6,5,1
24,6,6,0
24,6,7,1
24,6,8,0
24,6,9,1
24,6,10,1
24,6,11,1
24,6,12,1
24,6,13,1
24,7,1,1
24,7,2,0
24,7,3,1
24,7,4,1
24,7,5,1
24,7,6,0
24,7,7,1
24,7,8,0
24,7,9,1
24,7,10,1
24,7,11,1
24,7,12,1
24,7,13,1
24,8,1,1
24,8,2,0
24,8,3,1
24,8,4,1
24,8,5,1
24,8,6,0
24,8,7,1
24,8,8,0
24,8,9,1
24,8,10,1
24,8,11,1
24,8,12,1
24,8,13,1
24,9,1,1
24,9,2,0
24,9,3,1
24,9,4,1
24,9,5,1
24,9,6,0
24,9,7,1
24,9,8,0
24,9,9,1
24,9,10,1
24,9,11,1
24,9,12,1
