"iso2c","year","hrv_mean"
"AE",1980,-0.879781870053451
"AE",1981,-0.886584735145826
"AE",1982,-0.88749043019614
"AE",1983,-0.872444483777974
"AE",1984,-0.906307082651087
"AE",1985,-0.911582907532249
"AE",1986,-0.90980424232423
"AE",1987,-0.908216112852615
"AE",1988,-0.91008570675746
"AE",1989,-0.873241482339395
"AE",1990,-0.906144310043888
"AE",1991,-0.871825782264822
"AE",1992,-0.873309607135889
"AE",1993,-0.874682914818734
"AE",1994,-0.9130015227662
"AE",1995,-0.878657985916244
"AE",1996,-0.915192809869762
"AE",1997,-0.910788233118209
"AE",1998,-0.911626140782404
"AE",1999,-0.870985131224144
"AE",2000,-0.855806189923474
"AE",2001,-0.860838672967787
"AE",2002,-0.886174702796153
"AE",2003,-0.885579002226078
"AE",2004,-0.885912392049151
"AE",2005,-0.845323881251393
"AE",2006,-0.892325170065542
"AE",2007,-0.86376535915603
"AE",2008,-0.846573313288882
"AE",2009,-0.890206084288112
"AE",2010,-0.889216676250828
"AF",1980,-0.700777210530232
"AF",1981,-0.699823740895027
"AF",1982,-0.719262194247773
"AF",1983,-0.7210302812822
"AF",1984,-0.718624518706815
"AF",1985,-0.718589085275833
"AF",1986,-0.732004377510931
"AF",1987,-0.732274459909309
"AF",1988,-0.731555400261283
"AF",1989,-0.732888321165315
"AF",1990,-2.91900814905069
"AF",1991,-3.8558063300042
"AF",1992,-4.40462354420572
"AF",1993,-4.36642505997994
"AF",1994,-4.49657367640754
"AF",1995,-4.67843363756301
"AF",1996,-4.90052872023088
"AF",1997,-4.93167291368373
"AF",1998,-4.85372049872105
"AF",1999,-4.63299318125708
"AF",2000,-4.26852640714204
"AF",2001,-3.42041494416652
"AF",2002,-2.98754691153643
"AF",2003,-2.71925666678125
"AF",2004,-2.62983440067089
"AF",2005,-2.46947337815007
"AF",2006,-2.15300877525242
"AF",2007,-1.99894534272141
"AF",2008,-1.57914564655788
"AF",2009,-1.5396099342332
"AF",2010,-1.53542163191555
"AL",1980,-0.703584843630816
"AL",1981,-0.703522267574595
"AL",1982,-0.703346804662931
"AL",1983,-0.70245136604241
"AL",1984,-0.612258441935487
"AL",1985,-0.609905159808905
"AL",1986,-0.60985291540082
"AL",1987,-0.610610668511831
"AL",1988,-0.608097992539462
"AL",1989,-0.610312341885151
"AL",1990,-0.649683946429834
"AL",1991,-0.518812829555642
"AL",1992,-0.300045800740726
"AL",1993,-0.220321372639629
"AL",1994,0.172993815840437
"AL",1995,0.306326430860566
"AL",1996,0.782348879403858
"AL",1997,0.886317047613712
"AL",1998,1.00734054617868
"AL",1999,1.14495262915093
"AL",2000,1.29250498272926
"AL",2001,1.51019410146871
"AL",2002,1.41956708595681
"AL",2003,1.44622639546301
"AL",2004,1.32492973570854
"AL",2005,1.23572453800919
"AL",2006,1.19068265253976
"AL",2007,1.33855439883564
"AL",2008,1.54627001853462
"AL",2009,1.51283106820426
"AL",2010,1.21948064343388
"AO",1980,-1.00901900785789
"AO",1981,-1.04416766999447
"AO",1982,-1.10596583249644
"AO",1983,-1.10232449935977
"AO",1984,-1.08754637992906
"AO",1985,-0.653789218552388
"AO",1986,-0.656341152477889
"AO",1987,-0.65652363666704
"AO",1988,-0.657105557692306
"AO",1989,-0.656456427697732
"AO",1990,-0.42536896720643
"AO",1991,-0.531523068643069
"AO",1992,-0.53555067845051
"AO",1993,-0.562428267508724
"AO",1994,-0.564643737767583
"AO",1995,-0.653152802295187
"AO",1996,-0.404992007411878
"AO",1997,-0.495091155202659
"AO",1998,-0.475797021112862
"AO",1999,-0.46980862580833
"AO",2000,-0.295882885623354
"AO",2001,-0.472672203451501
"AO",2002,-0.30103517748787
"AO",2003,-0.301744543670315
"AO",2004,-0.290857937876726
"AO",2005,-0.275004728795764
"AO",2006,-0.271623273178617
"AO",2007,-0.278327179280217
"AO",2008,-0.238901649301983
"AO",2009,-0.244957068963216
"AO",2010,-0.234575758949216
"AR",1980,0.467553404007938
"AR",1981,0.684157965678742
"AR",1982,0.944052903353077
"AR",1983,0.962323869083345
"AR",1984,0.879249742527516
"AR",1985,0.632063302772464
"AR",1986,0.640440598129516
"AR",1987,0.679045674889528
"AR",1988,0.573082391813825
"AR",1989,0.607655262194634
"AR",1990,1.52143766500142
"AR",1991,1.730134964611
"AR",1992,1.98540246190183
"AR",1993,2.54520354726282
"AR",1994,2.79219190732323
"AR",1995,2.83442508287278
"AR",1996,3.21388343354397
"AR",1997,3.7124825526737
"AR",1998,4.31858896790554
"AR",1999,4.64552551264089
"AR",2000,4.87005156173699
"AR",2001,4.89011935059743
"AR",2002,4.78676890643609
"AR",2003,4.88760621377521
"AR",2004,4.88671185694915
"AR",2005,4.90495154793821
"AR",2006,4.84671042143431
"AR",2007,4.32564010818064
"AR",2008,3.82693740885374
"AR",2009,2.91446849712597
"AR",2010,1.36258841784722
"AT",1980,0.75166535819585
"AT",1981,1.28050331335368
"AT",1982,1.60794717556838
"AT",1983,2.18466238382202
"AT",1984,2.41266511565844
"AT",1985,2.7042940683918
"AT",1986,2.74756867518295
"AT",1987,2.76074062937881
"AT",1988,2.78541598439746
"AT",1989,2.82101541712966
"AT",1990,2.82859125798232
"AT",1991,2.8654150252412
"AT",1992,2.92395889813092
"AT",1993,3.06369220746444
"AT",1994,3.34392342796786
"AT",1995,4.23309675687443
"AT",1996,4.51674930643985
"AT",1997,4.4081601348253
"AT",1998,4.38900818326972
"AT",1999,5.32632109524568
"AT",2000,5.66588227689134
"AT",2001,5.91889104865454
"AT",2002,6.25292813949027
"AT",2003,6.42700904146639
"AT",2004,6.43424579826072
"AT",2005,6.46929299267109
"AT",2006,6.42307861351845
"AT",2007,6.23110919442134
"AT",2008,5.89043213548173
"AT",2009,5.23845614578603
"AT",2010,4.79329179020278
"AU",1980,1.13885920431786
"AU",1981,1.87438744608485
"AU",1982,2.06989481400634
"AU",1983,2.10734532669592
"AU",1984,2.07408811727482
"AU",1985,2.07833530714213
"AU",1986,2.16741307624586
"AU",1987,2.74079556135987
"AU",1988,2.92444804216673
"AU",1989,3.26727977827143
"AU",1990,3.3780687811889
"AU",1991,3.5186798709306
"AU",1992,3.58616606681935
"AU",1993,3.8027245555923
"AU",1994,3.87543267909831
"AU",1995,3.79860706852126
"AU",1996,3.26501905122505
"AU",1997,3.34324026426867
"AU",1998,3.34013015566976
"AU",1999,3.81625449975048
"AU",2000,4.05338209680555
"AU",2001,4.23282644642704
"AU",2002,3.86995547401366
"AU",2003,4.20727965320394
"AU",2004,4.30329468183831
"AU",2005,4.45616327401705
"AU",2006,4.37319916418373
"AU",2007,4.01571940209227
"AU",2008,2.95883795411104
"AU",2009,-0.683503824977083
"AU",2010,-0.694285732012653
"BD",1980,0.333377144930209
"BD",1981,0.559638153169173
"BD",1982,0.561696321636587
"BD",1983,0.882133292911901
"BD",1984,1.57913358664076
"BD",1985,1.51321627923333
"BD",1986,1.57086769657517
"BD",1987,0.927888506534806
"BD",1988,0.915394375689422
"BD",1989,1.3660135909606
"BD",1990,1.01804152258334
"BD",1991,1.08270259360916
"BD",1992,0.674248734098407
"BD",1993,0.648179073991933
"BD",1994,0.395908928251237
"BD",1995,0.6983632257103
"BD",1996,1.78340981108322
"BD",1997,1.03523919928662
"BD",1998,0.932404903939029
"BD",1999,0.631592603981363
"BD",2000,2.26703887956848
"BD",2001,1.39629774876445
"BD",2002,1.48902422717344
"BD",2003,2.41341621615426
"BD",2004,1.68562569718943
"BD",2005,2.59007636128407
"BD",2006,1.46828894781817
"BD",2007,1.15859221624662
"BD",2008,0.446072692991706
"BD",2009,0.405288746608978
"BD",2010,0.371828637683638
"BE",1980,-0.828727606305953
"BE",1981,-0.829081804979312
"BE",1982,-0.829628483608345
"BE",1983,-0.826206347947011
"BE",1984,-0.82659188237828
"BE",1985,-0.826283391196319
"BE",1986,-0.82564352645511
"BE",1987,-0.825369016038594
"BE",1988,-0.82569074677295
"BE",1989,-0.827556386738343
"BE",1990,-0.825930774847505
"BE",1991,-0.82667258078791
"BE",1992,-0.826792994304018
"BE",1993,-0.825269328551243
"BE",1994,-0.824137920552918
"BE",1995,-0.8252944501882
"BE",1996,-0.825362993893669
"BE",1997,-0.827397003573466
"BE",1998,-0.829460523115997
"BE",1999,-0.824658704428717
"BE",2000,-0.823090361787596
"BE",2001,-0.819963792675419
"BE",2002,3.60349580588577
"BE",2003,4.96766601085959
"BE",2004,5.64414286445132
"BE",2005,6.01802449559749
"BE",2006,6.22547708540559
"BE",2007,6.12885919162079
"BE",2008,5.72887660937883
"BE",2009,4.94892880845674
"BE",2010,4.27383437836888
"BF",1980,-0.545781520282318
"BF",1981,-0.552060550601228
"BF",1982,-0.553245077648902
"BF",1983,-0.541099100867935
"BF",1984,-0.605308648596979
"BF",1985,-0.56649443783481
"BF",1986,-0.599113382201385
"BF",1987,-0.609197516741076
"BF",1988,-0.604140253619631
"BF",1989,-0.608532311056817
"BF",1990,-0.608415838809631
"BF",1991,-0.608491670690705
"BF",1992,-0.610880832125514
"BF",1993,-0.607544282135601
"BF",1994,-0.585300741931743
"BF",1995,-0.938462660192488
"BF",1996,-0.949483088466691
"BF",1997,-0.958945098366607
"BF",1998,-0.940480584478063
"BF",1999,-0.925165378169698
"BF",2000,-0.520584569402212
"BF",2001,-0.525640239817406
"BF",2002,-0.533466090429524
"BF",2003,-0.422705113252019
"BF",2004,-0.529422301272407
"BF",2005,-0.598072057465023
"BF",2006,-0.632844388538953
"BF",2007,-0.679462548855622
