"country","iso2c","year","frt","newspread","infl","cgdpgrowth","pcgdp2005l","us3mrate","lnewspread","dnewspread","lpubdebtgdp","dpubdebtgdp","linfl","dinfl","lcgdpgrowth","dcgdpgrowth","lpcgdp2005l","dpcgdp2005l","loecdgrowth","doecdgrowth","lus3mrate","dus3mrate","lvix","dvix","lfrt","dfrt"
"Denmark","DK",2006,-0.182,-0.980000019073486,1.88999998569489,3.39471292495728,10.7995624542236,4.73000001907349,-0.889999866485596,-0.0900001525878906,37.7599983215332,-5.68999862670898,1.80999994277954,0.0800000429153442,2.44514560699463,0.949567317962646,10.7694654464722,0.0300970077514648,2.61013865470886,0.269256591796875,3.15000009536743,1.57999992370605,12.8100004196167,0,-0.16,0.1375
"Denmark","DK",2007,-0.217,-0.340000152587891,1.71000003814697,1.58326125144958,10.8108367919922,4.34999990463257,-0.980000019073486,0.639999866485596,32.0699996948242,-4.94000053405762,1.88999998569489,-0.179999947547913,3.39471292495728,-1.81145167350769,10.7995624542236,0.0112743377685547,2.87939524650574,-0.29223895072937,4.73000001907349,-0.380000114440918,12.8100004196167,4.73000049591064,-0.182,0.192307692307692
"Denmark","DK",2008,-0.258,0.610000133514404,3.40000009536743,-0.783853530883789,10.7970914840698,1.37000000476837,-0.340000152587891,0.950000286102295,27.1299991607666,6.25000190734863,1.71000003814697,1.69000005722046,1.58326125144958,-2.36711478233337,10.8108367919922,-0.0137453079223633,2.58715629577637,-2.48360157012939,4.34999990463257,-2.98000001907349,17.5400009155273,15.1499977111816,-0.217,0.188940092165899
"Denmark","DK",2009,-0.334,0.329999923706055,1.33000004291534,-5.66631364822388,10.7334089279175,0.150000005960464,0.610000133514404,-0.28000020980835,33.3800010681152,7.29999923706055,3.40000009536743,-2.07000017166138,-0.783853530883789,-4.88246011734009,10.7970914840698,-0.0636825561523438,0.103554643690586,-3.6426637172699,1.37000000476837,-1.22000002861023,32.689998626709,-1.20999908447266,-0.258,0.294573643410853
"Denmark","DK",2010,-0.342,-0.279999971389771,2.29999995231628,1.57724189758301,10.7446165084839,0.140000000596046,0.329999923706055,-0.609999895095825,40.6800003051758,2.06999969482422,1.33000004291534,0.96999990940094,-5.66631364822388,7.24355554580688,10.7334089279175,0.0112075805664062,-3.53910899162292,6.29347896575928,0.150000005960464,-0.010000005364418,31.4799995422363,-8.93000030517578,-0.334,0.0239520958083833
"Denmark","DK",2011,-0.342,-0.059999942779541,2.75999999046326,1.10439848899841,10.751482963562,0.0500000007450581,-0.279999971389771,0.220000028610229,42.75,3.63999938964844,2.29999995231628,0.460000038146973,1.57724189758301,-0.472843408584595,10.7446165084839,0.006866455078125,2.75436973571777,-1.1677919626236,0.140000000596046,-0.0900000035762787,22.5499992370605,1.65000152587891,-0.342,0
"Denmark","DK",2012,-0.34,-0.415,2.41107504802376,-0.655226089002142,47648.8352298622,0.0880769230769231,0.01,-42.5,47.9691328261529,-0.0153858640033787,2.75660223250699,-0.125345318380951,1.15214252475052,-1.56870228719665,48143.9137856297,-0.0102833051332706,1.8108312676558,-0.879138164280863,0.0528846153846154,0.665454545454546,24.2025793650794,-0.264587475098581,-0.342,-0.00584795321637427
"Denmark","DK",2013,-0.342,-0.612,0.782614319901185,-0.48620958465817,47219.8907313617,0.0580769230769231,-0.415,0.474698795180723,47.2310862721297,NA,2.41107504802376,-0.675408560781774,-0.655226089002142,-0.257951426508934,47648.8352298622,-0.00900220323185718,0.218860391186491,3.19968192358824,0.0880769230769231,-0.34061135371179,17.79888,-0.200504804368643,-0.34,0.00588235294117648
"Ecuador","EC",1990,-0.019,NA,48.5200004577637,3.6799144744873,7.88144779205322,7.48999977111816,NA,NA,100.589996337891,NA,NA,NA,NA,NA,NA,NA,3.91646099090576,-0.891098737716675,NA,NA,NA,NA,NA,NA
"Ecuador","EC",1991,0.029,NA,48.7999992370605,4.29134321212769,7.90032148361206,5.38000011444092,NA,NA,100.819999694824,-9.91999816894531,48.5200004577637,0.279998779296875,3.6799144744873,0.611428737640381,7.88144779205322,0.0188736915588379,3.02536225318909,-1.78374373912811,7.48999977111816,-2.10999965667725,23.0599994659424,-4.68999862670898,-0.019,-2.52631578947368
"Ecuador","EC",1992,0.02,NA,54.3400001525879,2.1143102645874,7.89857578277588,3.4300000667572,NA,NA,90.9000015258789,-9,48.7999992370605,5.54000091552734,4.29134321212769,-2.17703294754028,7.90032148361206,-0.00174570083618164,1.24161851406097,0.805625557899475,5.38000011444092,-1.95000004768372,18.3700008392334,-2.92000102996826,0.029,-0.310344827586207
"Ecuador","EC",1993,-0.06,NA,45,1.97321951389313,7.89589309692383,3,NA,NA,81.9000015258789,10.8300018310547,54.3400001525879,-9.34000015258789,2.1143102645874,-0.141090750694275,7.89857578277588,-0.00268268585205078,2.04724407196045,-0.756426692008972,3.4300000667572,-0.430000066757202,15.4499998092651,-2.76000022888184,0.02,-4
"Ecuador","EC",1994,-0.069,NA,27.4400005340576,4.25824880599976,7.91576671600342,4.25,NA,NA,92.7300033569336,-13.7600021362305,45,-17.5599994659424,1.97321951389313,2.28502941131592,7.89589309692383,0.0198736190795898,1.29081737995148,1.91920053958893,3,1.25,12.6899995803833,1.24000072479248,-0.06,0.15
"Ecuador","EC",1995,-0.095,17.2790699005127,22.8899993896484,2.25255250930786,7.9165735244751,5.48999977111816,NA,NA,78.9700012207031,-17.5100021362305,27.4400005340576,-4.55000114440918,4.25824880599976,-2.00569629669189,7.91576671600342,0.000806808471679688,3.21001791954041,-0.426798105239868,4.25,1.23999977111816,13.9300003051758,-1.53999996185303,-0.069,0.376811594202898
"Ecuador","EC",1996,-0.273,10.8089694976807,24.3999996185303,1.73174750804901,7.91263818740845,5.01000022888184,17.2790699005127,-6.47010040283203,61.4599990844727,-1.07999801635742,22.8899993896484,1.51000022888184,2.25255250930786,-0.52080500125885,7.9165735244751,-0.00393533706665039,2.78321981430054,0.120951652526855,5.48999977111816,-0.479999542236328,12.3900003433228,4.05000019073486,-0.095,1.87368421052632
"Ecuador","EC",1997,-0.269,6.70955991744995,30.6000003814697,4.32785844802856,7.93427181243896,5.05999994277954,10.8089694976807,-4.09940958023071,60.3800010681152,-3.71000289916992,24.3999996185303,6.20000076293945,1.73174750804901,2.59611082077026,7.91263818740845,0.0216336250305176,2.90417146682739,0.534695386886597,5.01000022888184,0.0499997138977051,16.4400005340576,5.92000007629395,-0.273,-0.0146520146520147
"Ecuador","EC",1998,-0.247,10.8973503112793,36.0999984741211,3.26653718948364,7.94601583480835,4.78000020980835,6.70955991744995,4.18779039382935,56.6699981689453,4.76000213623047,30.6000003814697,5.49999809265137,4.32785844802856,-1.06132125854492,7.93427181243896,0.0117440223693848,3.43886685371399,-0.819497346878052,5.05999994277954,-0.279999732971191,22.3600006103516,3.23999977111816,-0.269,-0.0817843866171004
"Ecuador","EC",1999,0.186,26.4272804260254,52.2000007629395,-4.73939180374146,7.87735891342163,4.6399998664856,10.8973503112793,15.5299301147461,61.4300003051758,32.379997253418,36.0999984741211,16.1000022888184,3.26653718948364,-8.0059289932251,7.94601583480835,-0.0686569213867188,2.61936950683594,0.808769941329956,4.78000020980835,-0.140000343322754,25.6000003814697,-1.22999954223633,-0.247,-1.75303643724696
"Ecuador","EC",2000,0.527,28.657018661499,96.0999984741211,1.09180688858032,7.86838722229004,5.82000017166138,26.4272804260254,2.22973823547363,93.8099975585938,-11.1999969482422,52.2000007629395,43.8999977111816,-4.73939180374146,5.83119869232178,7.87735891342163,-0.0089716911315918,3.42813944816589,0.480717182159424,4.6399998664856,1.18000030517578,24.3700008392334,-1.05000114440918,0.186,1.83333333333333
